                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.82574,                0.47977,                 1.0767,                0.90533,                0.44948,                 1.0948,                0.96171,                0.93963,                0.98472,                0.83156,                0.68043,                0.39395,                 1.0626,                0.69219,                  0.362,                 1.0787,               0.008911,               0.008911,               0.008911
                     25,                0.81707,                0.47468,                 1.0762,                0.89182,                0.43374,                 1.0926,                 0.7637,                 0.9166,                0.80497,                0.67007,                0.75687,                 1.3863,                 1.1129,                0.79709,                 1.6835,                 1.1434,              0.0088615,              0.0088615,              0.0088615
                     26,                0.83199,                0.48463,                 1.0867,                0.90983,                0.45358,                 1.1051,                0.70865,                 0.9061,                0.82618,                0.67588,                0.79168,                 1.4385,                 1.1422,                0.82639,                 1.4811,                 1.1672,               0.008812,               0.008812,               0.008812
                     27,                0.82894,                0.46867,                 1.0768,                0.90904,                0.42954,                 1.0923,                0.96298,                0.97158,                0.98952,                0.83638,                0.66937,                0.37992,                  1.058,                0.68969,                0.27949,                 1.0644,              0.0087625,              0.0087625,              0.0087625
                     28,                0.81403,                0.46387,                 1.0721,                0.88774,                0.42195,                 1.0829,                0.78527,                0.79704,                0.93577,                0.77858,                0.74193,                 2.1187,                 1.1053,                0.77495,                 1.1414,                 1.1278,               0.008713,               0.008713,               0.008713
                     29,                0.81459,                0.45885,                 1.0728,                0.89323,                0.41037,                 1.0865,                0.81879,                0.93215,                0.86768,                0.73215,                0.73041,                 1.0205,                 1.1036,                0.75146,                 1.0233,                 1.1118,              0.0086635,              0.0086635,              0.0086635
                     30,                0.80132,                0.44955,                 1.0611,                0.86886,                0.40448,                 1.0713,                0.45583,                0.77251,                 0.4923,                0.43069,                0.76768,                 2.6304,                 1.1459,                0.79411,                 2.6187,                 1.1616,               0.008614,               0.008614,               0.008614
                     31,                0.80199,                0.45021,                 1.0643,                0.87158,                0.40358,                  1.077,                0.62632,                0.38943,                0.52355,                0.40662,                 1.0923,                 1.9161,                   1.42,                 1.1108,                 2.8808,                 1.4448,              0.0085645,              0.0085645,              0.0085645
                     32,                0.80415,                0.45227,                 1.0703,                0.87844,                0.39846,                 1.0809,                 0.9703,                 0.9801,                0.98976,                0.82729,                0.67521,                  0.335,                 1.0645,                0.70076,                0.24616,                 1.0715,               0.008515,               0.008515,               0.008515
                     33,                0.79733,                0.44817,                   1.06,                0.86562,                0.39627,                 1.0689,                0.87291,                0.51985,                0.66076,                0.48254,                   1.07,                 2.4717,                 1.2664,                 1.1361,                 3.1563,                 1.2954,              0.0084655,              0.0084655,              0.0084655
                     34,                0.79591,                0.44072,                  1.068,                0.87097,                0.39588,                 1.0838,                0.86456,                0.88275,                0.93962,                0.78686,                0.69969,                0.78311,                 1.0708,                0.72664,                0.70545,                 1.0988,               0.008416,               0.008416,               0.008416
                     35,                 0.7836,                0.43368,                  1.052,                0.85995,                0.38999,                 1.0659,                0.96388,                0.97721,                0.99019,                0.83769,                0.62532,                0.31522,                 1.0389,                0.66142,                0.25698,                 1.0593,              0.0083665,              0.0083665,              0.0083665
                     36,                0.79741,                0.45005,                 1.0661,                 0.8691,                0.39869,                 1.0778,                0.87682,                0.72006,                0.94629,                0.78941,                0.69973,                0.98912,                 1.0755,                0.73026,                 1.0598,                 1.0899,               0.008317,               0.008317,               0.008317
                     37,                   0.78,                0.43403,                 1.0543,                0.84982,                0.38272,                 1.0653,                 0.7979,                0.89447,                0.85268,                0.72208,                0.70251,                0.95095,                 1.0839,                0.72608,                 1.1481,                 1.0966,              0.0082675,              0.0082675,              0.0082675
                     38,                0.78481,                  0.432,                 1.0611,                 0.8611,                0.38236,                 1.0758,                0.82425,                0.94107,                0.94722,                0.79784,                0.70218,                0.80056,                 1.0716,                0.71074,                0.91953,                 1.0777,               0.008218,               0.008218,               0.008218
                     39,                0.77868,                0.42494,                 1.0556,                 0.8488,                0.38435,                 1.0675,                0.96771,                0.98265,                0.98685,                0.83871,                0.65048,                0.38426,                  1.049,                0.67137,                0.27745,                 1.0614,              0.0081685,              0.0081685,              0.0081685
                     40,                0.78405,                0.42783,                 1.0597,                0.85897,                0.37191,                 1.0703,                0.98606,                0.97151,                0.99298,                0.84777,                0.63721,                0.30402,                 1.0417,                0.65603,                0.21664,                 1.0583,               0.008119,               0.008119,               0.008119
                     41,                  0.774,                0.42702,                 1.0525,                0.84386,                0.37267,                 1.0643,                0.93651,                0.95258,                0.98103,                0.83255,                0.67098,                0.38645,                 1.0666,                0.67961,                0.32552,                 1.0729,              0.0080695,              0.0080695,              0.0080695
                     42,                0.78437,                0.43147,                 1.0581,                0.85467,                0.37719,                 1.0673,                0.97386,                0.98687,                0.99046,                0.84474,                0.64159,                0.32114,                 1.0493,                0.65715,                0.23344,                 1.0562,                0.00802,                0.00802,                0.00802
                     43,                 0.7793,                0.42552,                 1.0606,                0.84663,                0.37379,                 1.0728,                0.98184,                0.98273,                0.99181,                0.84576,                0.63767,                0.30653,                 1.0461,                0.66256,                0.22321,                 1.0603,              0.0079705,              0.0079705,              0.0079705
                     44,                0.78345,                0.43056,                 1.0528,                0.85006,                0.36501,                 1.0632,                0.97472,                0.97973,                0.99122,                0.85045,                0.63708,                0.30391,                 1.0456,                0.65338,                  0.229,                 1.0558,               0.007921,               0.007921,               0.007921
                     45,                 0.7859,                0.42832,                 1.0567,                0.85725,                 0.3668,                  1.069,                0.97716,                0.98583,                0.99117,                0.84182,                0.64568,                0.32419,                 1.0453,                0.66566,                0.23728,                 1.0487,              0.0078715,              0.0078715,              0.0078715
                     46,                0.77011,                 0.4212,                 1.0512,                0.83743,                 0.3543,                 1.0606,                0.96031,                0.96414,                0.97568,                0.83063,                0.64203,                0.34617,                 1.0538,                0.65746,                0.30983,                 1.0593,               0.007822,               0.007822,               0.007822
                     47,                0.77603,                0.41929,                 1.0505,                 0.8416,                0.34789,                 1.0581,                0.86846,                0.70963,                0.86081,                0.64626,                0.89299,                 1.2815,                 1.1813,                0.93279,                  1.761,                 1.1985,              0.0077725,              0.0077725,              0.0077725
                     48,                0.77443,                0.41666,                 1.0558,                0.84071,                0.34535,                 1.0641,                0.94539,                 0.9478,                 0.9791,                0.84056,                0.64206,                0.40935,                 1.0462,                0.64718,                0.36639,                 1.0473,               0.007723,               0.007723,               0.007723
                     49,                0.77603,                0.41792,                 1.0542,                0.84617,                0.36908,                 1.0654,                0.95954,                0.95764,                 0.9831,                0.83425,                0.64536,                0.32897,                 1.0409,                0.66168,                0.30446,                 1.0502,              0.0076735,              0.0076735,              0.0076735
                     50,                0.76233,                0.40905,                 1.0426,                0.83849,                0.36036,                 1.0596,                 0.9708,                0.98862,                 0.9901,                0.85126,                0.62037,                0.30032,                 1.0341,                0.64238,                0.22426,                 1.0426,               0.007624,               0.007624,               0.007624
                     51,                0.76211,                0.40866,                 1.0424,                0.82643,                0.35514,                 1.0523,                0.96033,                0.96822,                0.98935,                 0.8527,                0.62206,                 0.3381,                 1.0376,                0.62747,                0.25196,                 1.0436,              0.0075745,              0.0075745,              0.0075745
                     52,                0.76512,                0.41149,                 1.0432,                0.83428,                0.35709,                 1.0537,                0.97271,                0.97265,                0.99101,                0.84606,                0.62486,                0.30274,                 1.0345,                  0.646,                 0.2379,                 1.0436,               0.007525,               0.007525,               0.007525
                     53,                0.75646,                0.40373,                 1.0436,                0.82794,                0.36552,                 1.0554,                0.97928,                0.97963,                0.99259,                0.86133,                 0.6136,                 0.2925,                 1.0288,                0.62639,                 0.2169,                 1.0318,              0.0074755,              0.0074755,              0.0074755
                     54,                0.75977,                0.40491,                 1.0326,                0.82507,                0.35331,                 1.0406,                0.97328,                0.98109,                0.99091,                  0.857,                0.60496,                0.31398,                 1.0336,                0.61112,                0.22141,                 1.0382,               0.007426,               0.007426,               0.007426
                     55,                0.76573,                0.40548,                 1.0447,                0.83117,                0.35226,                 1.0542,                0.97642,                0.98296,                0.99111,                  0.854,                0.62278,                0.29228,                 1.0325,                0.63405,                0.21833,                 1.0378,              0.0073765,              0.0073765,              0.0073765
                     56,                0.75389,                0.40305,                 1.0425,                0.81927,                0.35647,                 1.0521,                0.97652,                 0.9935,                0.99283,                0.85237,                 0.6157,                0.28322,                 1.0269,                0.62961,                0.20589,                 1.0334,               0.007327,               0.007327,               0.007327
                     57,                0.75486,                0.40157,                 1.0453,                0.82141,                0.34538,                 1.0566,                0.96706,                0.97556,                0.98129,                0.84788,                0.61629,                0.31646,                 1.0312,                0.62871,                0.27952,                 1.0372,              0.0072775,              0.0072775,              0.0072775
                     58,                0.74895,                0.39676,                 1.0335,                0.81055,                0.33636,                 1.0431,                 0.9772,                0.98938,                0.99256,                0.86119,                 0.6025,                0.28406,                 1.0244,                0.60737,                0.20872,                 1.0286,               0.007228,               0.007228,               0.007228
                     59,                0.76263,                0.40052,                 1.0473,                0.82132,                0.33903,                 1.0541,                0.98443,                 0.9873,                0.99355,                0.86891,                0.60331,                0.28248,                  1.019,                0.61165,                0.19678,                 1.0244,              0.0071785,              0.0071785,              0.0071785
                     60,                0.75294,                0.39069,                 1.0373,                0.81486,                0.32009,                 1.0446,                0.98181,                0.98905,                0.99124,                 0.8525,                0.61178,                0.28747,                 1.0199,                0.62767,                0.20718,                 1.0282,               0.007129,               0.007129,               0.007129
                     61,                0.74567,                0.39465,                 1.0374,                0.81046,                0.32734,                 1.0471,                0.92938,                0.77373,                0.92846,                0.77061,                0.72518,                 0.8685,                 1.0827,                 0.7645,                0.92335,                 1.0961,              0.0070795,              0.0070795,              0.0070795
                     62,                0.75656,                0.40181,                 1.0382,                0.81627,                0.33927,                 1.0463,                0.98243,                0.99145,                0.99373,                0.85147,                  0.617,                0.28287,                  1.025,                0.63529,                0.21055,                 1.0347,                0.00703,                0.00703,                0.00703
                     63,                0.73619,                0.39342,                 1.0301,                0.80083,                0.32408,                 1.0369,                0.96818,                0.98695,                0.98881,                0.84633,                0.60459,                0.30648,                 1.0239,                0.63144,                0.22905,                 1.0392,              0.0069805,              0.0069805,              0.0069805
                     64,                0.74446,                 0.3924,                 1.0342,                0.80872,                0.33057,                 1.0426,                0.95689,                0.98401,                0.98781,                0.84288,                0.63244,                0.33783,                 1.0343,                0.64286,                0.26217,                 1.0401,               0.006931,               0.006931,               0.006931
                     65,                0.74377,                0.39089,                 1.0327,                0.80609,                0.32494,                 1.0426,                0.98127,                0.98455,                0.99197,                0.85405,                0.59979,                0.29437,                 1.0212,                0.61973,                0.20998,                 1.0321,              0.0068815,              0.0068815,              0.0068815
                     66,                0.74254,                 0.3965,                 1.0326,                0.80264,                0.33208,                 1.0406,                0.97193,                0.97665,                0.99071,                0.85294,                0.61008,                0.31742,                 1.0236,                0.61652,                0.23211,                 1.0295,               0.006832,               0.006832,               0.006832
                     67,                0.73486,                0.38526,                 1.0389,                0.80203,                0.32117,                   1.05,                0.97762,                0.99064,                0.99287,                0.86016,                0.59939,                0.28145,                 1.0173,                0.61623,                0.20287,                 1.0245,              0.0067825,              0.0067825,              0.0067825
                     68,                0.73537,                0.38504,                 1.0352,                0.80076,                0.33015,                 1.0496,                0.95321,                0.98195,                0.98011,                0.84818,                0.60135,                0.36379,                 1.0232,                0.61706,                0.31546,                 1.0341,               0.006733,               0.006733,               0.006733
                     69,                0.74374,                0.39121,                 1.0376,                0.80509,                0.33747,                 1.0459,                0.97684,                 0.9883,                0.99059,                0.85787,                0.60262,                0.27602,                 1.0205,                0.61001,                0.21789,                 1.0277,              0.0066835,              0.0066835,              0.0066835
                     70,                0.73402,                0.38194,                 1.0313,                0.79177,                0.31684,                 1.0365,                0.98026,                0.99101,                0.99223,                0.86082,                0.60641,                0.27475,                 1.0247,                0.62246,                0.20524,                  1.031,               0.006634,               0.006634,               0.006634
                     71,                0.73557,                0.38433,                 1.0274,                0.78819,                0.31363,                 1.0317,                 0.9694,                0.98366,                0.98825,                0.84871,                0.62607,                0.33815,                 1.0351,                0.64189,                 0.2955,                 1.0434,              0.0065845,              0.0065845,              0.0065845
                     72,                 0.7389,                0.38774,                 1.0316,                0.79919,                0.31791,                 1.0384,                0.97643,                0.98999,                0.99154,                0.85244,                0.61237,                0.28171,                 1.0206,                0.62952,                0.20883,                 1.0299,               0.006535,               0.006535,               0.006535
                     73,                0.73258,                0.38564,                 1.0289,                0.79581,                 0.3216,                 1.0361,                0.97965,                0.98936,                0.99266,                0.86364,                0.60088,                0.27947,                 1.0199,                0.60333,                0.20012,                 1.0254,              0.0064855,              0.0064855,              0.0064855
                     74,                0.73673,                0.38462,                 1.0303,                0.79428,                0.32127,                 1.0375,                0.97473,                0.98928,                0.99095,                 0.8631,                0.58803,                0.27394,                 1.0163,                0.59605,                0.20742,                 1.0242,               0.006436,               0.006436,               0.006436
                     75,                0.72384,                0.38192,                 1.0301,                0.78241,                0.32398,                 1.0355,                 0.9759,                0.98693,                0.99302,                0.86704,                 0.5876,                0.26525,                  1.015,                 0.5918,                 0.1968,                 1.0175,              0.0063865,              0.0063865,              0.0063865
                     76,                0.73247,                0.38119,                 1.0317,                0.79597,                0.31902,                 1.0385,                0.98433,                0.98732,                0.99376,                0.86592,                0.59645,                0.26385,                 1.0159,                0.60608,                0.18684,                 1.0227,               0.006337,               0.006337,               0.006337
                     77,                0.72738,                0.38004,                 1.0255,                0.78477,                0.31389,                 1.0302,                0.98237,                0.98578,                0.99342,                0.86495,                0.59375,                0.26875,                 1.0136,                0.59971,                0.18719,                 1.0186,              0.0062875,              0.0062875,              0.0062875
                     78,                0.72712,                0.38355,                 1.0224,                0.78612,                0.31399,                  1.027,                0.98028,                0.98479,                0.99258,                0.86023,                0.59155,                0.27417,                 1.0197,                0.60103,                0.20476,                 1.0248,               0.006238,               0.006238,               0.006238
                     79,                0.72818,                0.38192,                 1.0308,                0.78408,                0.31313,                 1.0366,                0.98111,                0.98902,                0.99149,                0.86253,                0.59619,                0.26814,                 1.0222,                0.60296,                0.19783,                 1.0279,              0.0061885,              0.0061885,              0.0061885
                     80,                0.73267,                0.37732,                 1.0227,                0.79075,                0.30462,                 1.0283,                0.98011,                0.99384,                0.99352,                0.86622,                0.59092,                0.26649,                 1.0125,                 0.6021,                0.18829,                 1.0155,               0.006139,               0.006139,               0.006139
                     81,                0.72686,                0.37243,                 1.0254,                0.78582,                0.30085,                 1.0335,                0.98197,                0.98972,                0.99322,                0.86408,                0.58946,                0.26416,                  1.015,                0.59792,                0.19212,                 1.0174,              0.0060895,              0.0060895,              0.0060895
                     82,                0.72742,                0.37441,                 1.0269,                0.78591,                0.30571,                 1.0342,                0.98206,                 0.9905,                 0.9936,                0.87421,                0.58436,                0.26138,                 1.0146,                0.59082,                0.18491,                 1.0202,                0.00604,                0.00604,                0.00604
                     83,                0.71524,                 0.3747,                 1.0197,                0.77362,                0.30405,                 1.0247,                0.97397,                0.99383,                0.99227,                0.86418,                0.58901,                0.27848,                 1.0137,                0.59618,                0.19997,                 1.0163,              0.0059905,              0.0059905,              0.0059905
                     84,                 0.7193,                0.37277,                 1.0208,                0.77729,                0.30417,                 1.0255,                0.98219,                0.99285,                 0.9935,                0.86598,                0.59839,                0.26306,                 1.0172,                0.60298,                0.18831,                 1.0199,               0.005941,               0.005941,               0.005941
                     85,                0.71961,                0.37383,                 1.0195,                0.77906,                0.30783,                 1.0248,                0.98858,                0.98564,                0.99351,                0.87119,                0.58725,                0.25681,                  1.011,                0.59336,                0.18261,                  1.018,              0.0058915,              0.0058915,              0.0058915
                     86,                 0.7264,                 0.3746,                 1.0266,                0.78173,                0.30622,                 1.0343,                0.98501,                0.99245,                 0.9936,                0.87345,                0.58711,                0.26462,                 1.0111,                0.59656,                0.18253,                 1.0174,               0.005842,               0.005842,               0.005842
                     87,                0.71619,                  0.374,                 1.0118,                0.76744,                0.30215,                 1.0167,                0.98289,                0.99398,                 0.9925,                0.87172,                0.58439,                0.26498,                 1.0131,                0.58405,                0.18531,                 1.0155,              0.0057925,              0.0057925,              0.0057925
                     88,                  0.712,                0.36424,                 1.0162,                0.77074,                0.30307,                 1.0244,                0.98154,                0.99223,                0.99371,                 0.8687,                0.58357,                0.26034,                 1.0125,                0.58588,                 0.1834,                 1.0154,               0.005743,               0.005743,               0.005743
                     89,                0.71726,                0.36881,                 1.0245,                0.77542,                0.30884,                 1.0324,                0.98387,                0.99174,                0.99102,                0.87264,                0.57535,                0.25818,                 1.0084,                0.57986,                0.18545,                 1.0143,              0.0056935,              0.0056935,              0.0056935
                     90,                0.72489,                0.37608,                 1.0186,                0.77935,                0.30728,                 1.0248,                0.98608,                0.99095,                0.99331,                0.86696,                 0.5885,                0.26716,                 1.0158,                0.59205,                0.18463,                 1.0184,               0.005644,               0.005644,               0.005644
                     91,                0.71978,                0.36966,                 1.0249,                0.77556,                0.30512,                 1.0319,                 0.9879,                0.98397,                0.99282,                0.86663,                0.59244,                 0.2605,                  1.016,                0.59929,                0.19044,                 1.0211,              0.0055945,              0.0055945,              0.0055945
                     92,                0.71246,                0.36957,                 1.0196,                0.76996,                0.30608,                 1.0264,                0.98377,                0.99241,                0.99331,                0.86847,                0.58698,                0.26116,                 1.0139,                0.58949,                0.18349,                 1.0164,               0.005545,               0.005545,               0.005545
                     93,                0.71353,                0.36628,                 1.0258,                0.76804,                0.30332,                  1.031,                 0.9834,                0.98892,                0.99338,                0.86742,                0.59251,                0.26119,                 1.0149,                0.59211,                0.18734,                 1.0169,              0.0054955,              0.0054955,              0.0054955
                     94,                0.71726,                0.36429,                  1.026,                0.77147,                0.29338,                 1.0306,                0.97597,                0.99334,                0.99324,                0.86931,                0.57457,                 0.2611,                 1.0093,                0.57808,                0.19459,                 1.0131,               0.005446,               0.005446,               0.005446
                     95,                0.71334,                0.36198,                 1.0142,                0.76623,                0.29556,                 1.0184,                0.98431,                0.98259,                0.99344,                0.86669,                0.59155,                0.25781,                 1.0146,                0.60391,                0.19034,                 1.0233,              0.0053965,              0.0053965,              0.0053965
                     96,                0.71399,                0.36379,                 1.0228,                0.76419,                0.30253,                 1.0254,                0.97915,                0.98921,                0.99254,                 0.8729,                0.58161,                0.25874,                 1.0113,                0.59039,                0.19404,                 1.0171,               0.005347,               0.005347,               0.005347
                     97,                0.72187,                0.36688,                 1.0191,                0.77902,                 0.3016,                 1.0251,                0.98541,                0.99671,                0.99383,                0.86613,                0.58616,                0.25218,                 1.0136,                0.59208,                0.17715,                 1.0183,              0.0052975,              0.0052975,              0.0052975
