                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5759,                 3.5219,                 3.5351,                 4.0383,                 4.4349,                  3.421,                0.03983,                0.65062,                0.15393,                0.05173,                 3.7772,                 2.9644,                 2.8876,                 3.4554,                 3.8182,                 2.9012,               0.070197,              0.0033114,              0.0033114
                      2,                  2.212,                 1.8399,                 2.2414,                 1.8651,                 2.1663,                  2.021,                0.47354,                0.57762,                0.50835,                0.19671,                 2.4355,                 2.2257,                 1.9006,                 2.3628,                   2.35,                 1.7455,               0.040164,              0.0066118,              0.0066118
                      3,                  1.812,                 1.4347,                 1.9139,                 1.6613,                 1.5516,                 1.7252,                0.53002,                0.48879,                0.51414,                0.29216,                 2.2609,                 1.7551,                  1.747,                 2.0874,                  2.024,                 1.6088,               0.010099,              0.0098793,              0.0098793
                      4,                 1.4694,                0.96943,                 1.5749,                 1.4414,                 1.0871,                 1.4842,                0.86134,                0.77754,                0.88703,                0.67818,                 1.7496,                 1.2548,                 1.2396,                 1.7939,                 1.1721,                 1.2622,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.196,                0.78681,                 1.2708,                 1.2016,                0.85194,                 1.2376,                0.38934,                 0.3727,                0.32851,                0.15194,                 2.6766,                 2.6517,                 2.0368,                 2.6443,                 3.3724,                 1.9917,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.0471,                0.68561,                 1.1126,                 1.0523,                0.68449,                 1.0932,                0.89492,                0.85517,                0.93221,                0.70687,                 1.5661,                0.82766,                0.93413,                 1.6407,                0.91881,                0.93539,               0.009802,               0.009802,               0.009802
                      7,                0.95589,                0.62327,                 1.0282,                0.97585,                0.59784,                 1.0191,                0.81225,                0.70721,                 0.8249,                0.60034,                 1.9216,                 1.2322,                 1.2126,                 1.8689,                 1.4298,                  1.139,              0.0097525,              0.0097525,              0.0097525
                      8,                0.91564,                0.57791,                0.98149,                0.92858,                0.51635,                0.97346,                0.83966,                0.73945,                0.84142,                0.67565,                 1.6382,                 1.2387,                   1.03,                 1.6396,                 1.6571,                 1.0545,               0.009703,               0.009703,               0.009703
                      9,                 0.8611,                0.55455,                 0.9552,                0.86023,                 0.4687,                0.95053,                0.92223,                 0.8914,                0.94848,                0.75805,                 1.5159,                0.70153,                0.88841,                 1.4918,                0.71055,                0.87252,              0.0096535,              0.0096535,              0.0096535
                     10,                0.83031,                0.51434,                0.93106,                0.85201,                0.43211,                0.93038,                0.94275,                0.90522,                0.95471,                0.74701,                 1.4516,                0.61652,                0.81491,                  1.502,                0.60036,                0.81943,               0.009604,               0.009604,               0.009604
                     11,                0.80249,                0.49492,                0.91204,                0.82506,                 0.3941,                0.91477,                 0.9212,                0.87967,                0.94365,                0.77598,                 1.4714,                0.79871,                0.86486,                 1.4742,                0.77636,                0.85728,              0.0095545,              0.0095545,              0.0095545
                     12,                0.77755,                 0.4771,                0.90108,                0.79183,                 0.3611,                0.90373,                0.81135,                0.64933,                0.76025,                 0.5916,                 1.7694,                 1.3885,                 1.0961,                 1.7569,                 1.6635,                 1.1135,               0.009505,               0.009505,               0.009505
                     13,                0.76414,                 0.4584,                0.88489,                0.78258,                0.34881,                0.88767,                0.95317,                0.92295,                0.95933,                0.78347,                 1.4135,                0.56686,                0.80295,                 1.4351,                0.57177,                0.79953,              0.0094555,              0.0094555,              0.0094555
                     14,                0.74811,                0.44616,                0.88391,                0.77366,                0.33774,                0.88912,                0.95892,                0.92998,                0.96083,                0.80543,                 1.3724,                0.54464,                0.79265,                 1.3804,                0.49718,                0.79427,               0.009406,               0.009406,               0.009406
                     15,                0.74364,                0.43284,                 0.8739,                0.75971,                0.32187,                0.87766,                0.96518,                 0.9382,                0.96235,                0.80098,                 1.3715,                0.53212,                0.78523,                 1.3935,                0.50294,                0.78525,              0.0093565,              0.0093565,              0.0093565
                     16,                0.73004,                0.42062,                0.87069,                0.74324,                0.31349,                0.87423,                0.96074,                0.92893,                0.96059,                0.80111,                 1.3866,                0.55356,                0.78724,                  1.396,                0.48583,                0.78747,               0.009307,               0.009307,               0.009307
                     17,                 0.7265,                0.41381,                0.86308,                0.74499,                0.30166,                0.86944,                0.96609,                0.94236,                0.96219,                 0.8155,                 1.3482,                0.51454,                0.78592,                 1.3566,                0.46932,                0.78902,              0.0092575,              0.0092575,              0.0092575
                     18,                0.69902,                0.40111,                0.86046,                0.71621,                0.29051,                0.86572,                0.77915,                0.55535,                0.65588,                 0.5011,                 1.8211,                 1.5763,                 1.1843,                  1.814,                 2.1492,                 1.2031,               0.009208,               0.009208,               0.009208
                     19,                0.69333,                0.40111,                0.85657,                0.71517,                0.28494,                0.86026,                0.96488,                0.92331,                0.95701,                0.80003,                 1.3952,                0.51145,                0.82292,                 1.4172,                0.46013,                0.83739,              0.0091585,              0.0091585,              0.0091585
                     20,                0.68683,                0.38347,                 0.8519,                0.70881,                0.27159,                0.85817,                0.97462,                0.93855,                0.96344,                0.81969,                 1.3446,                0.49127,                0.77473,                 1.3444,                0.39729,                0.77329,               0.009109,               0.009109,               0.009109
                     21,                0.68651,                0.38564,                0.84771,                0.70189,                0.26569,                0.85343,                0.76428,                0.23137,                0.42537,                0.27836,                 2.2337,                 2.5663,                 1.6688,                   2.12,                 3.0835,                 1.6213,              0.0090595,              0.0090595,              0.0090595
