                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59876,                 4.3485,                0.83206,                0.60261,                 4.4146,                0.83149,                0.39161,                0.99467,                0.99307,                0.93839,                0.35476,                 4.2092,                0.81888,                0.36335,                 4.3442,                0.81817,                 0.0964,                 0.0004,                 0.0004
                      2,                0.52892,                 3.8837,                0.81942,                0.52753,                 3.9659,                0.82051,                0.33156,                0.99467,                0.99389,                0.89661,                0.44833,                 2.9402,                0.82096,                0.49301,                 3.0705,                0.82286,               0.091899,             0.00089889,             0.00089889
                      3,                0.45504,                 2.3849,                0.81105,                0.45794,                 2.3707,                0.81249,                0.96511,                0.98269,                0.99371,                0.87169,                0.51113,                  1.914,                0.82558,                0.57783,                 1.8971,                 0.8303,               0.087397,              0.0013965,              0.0013965
                      4,                0.43659,                  1.378,                0.81559,                0.43836,                 1.2342,                 0.8159,                0.99002,                 0.9698,                0.99388,                  0.888,                0.50845,                0.83984,                0.82865,                0.49989,                0.68892,                0.82837,               0.082893,              0.0018929,              0.0018929
                      5,                0.42414,                0.45016,                 0.8193,                0.44351,                0.34858,                0.82257,                0.97882,                0.98521,                 0.9942,                0.89839,                0.51599,                0.35149,                0.83062,                0.46997,                0.23974,                0.82889,               0.078388,              0.0023881,              0.0023881
                      6,                0.41143,                0.29911,                0.80528,                0.43564,                0.20049,                0.81013,                0.99469,                0.98579,                0.99488,                0.88741,                 0.5169,                0.30867,                0.82562,                0.50048,                0.16246,                0.82744,               0.073882,              0.0028821,              0.0028821
                      7,                0.40161,                0.27951,                0.80369,                0.42187,                 0.1725,                0.80652,                0.99409,                0.99112,                0.99495,                0.89817,                0.52113,                0.33907,                0.82864,                0.47109,                0.15761,                0.82788,               0.069375,              0.0033748,              0.0033748
                      8,                0.42235,                0.27457,                0.80328,                0.45594,                0.17001,                0.80702,                0.99819,                0.97786,                 0.9947,                0.90928,                0.50818,                0.34894,                0.82375,                0.42881,                0.16104,                0.82212,               0.064866,              0.0038662,              0.0038662
                      9,                0.41683,                0.26894,                0.80775,                0.44392,                0.15608,                0.81207,                0.99113,                0.99248,                0.99491,                0.86267,                0.50486,                0.26938,                0.81875,                 0.5714,                0.17345,                0.82316,               0.060356,              0.0043564,              0.0043564
                     10,                0.43136,                0.25455,                0.79593,                0.44868,                0.15041,                 0.7994,                0.99343,                0.98579,                0.99484,                0.86864,                0.47387,                0.26536,                0.81393,                0.54717,                0.17406,                0.81777,               0.055845,              0.0048454,              0.0048454
                     11,                0.40616,                0.24287,                 0.7969,                0.44914,                0.15061,                0.80012,                0.98933,                0.98822,                0.99486,                0.82835,                0.51586,                0.27919,                0.81609,                0.68374,                0.20592,                0.82885,               0.051333,              0.0053332,              0.0053332
                     12,                 0.3942,                  0.235,                0.80005,                0.45236,                0.15121,                0.80456,                0.98985,                0.98401,                 0.9947,                0.87658,                0.54865,                0.24998,                0.81755,                0.51138,                0.16704,                0.81488,                0.04682,              0.0058197,              0.0058197
                     13,                0.40367,                0.24291,                0.81486,                0.40792,                0.14493,                0.81823,                0.98934,                0.98872,                0.99484,                0.86511,                0.48336,                0.26464,                0.81326,                0.55767,                0.17596,                0.81782,               0.042305,               0.006305,               0.006305
