                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9062,                 4.3311,                 4.1586,                 2.6117,                 6.1388,                 4.1754,                  0.009,                0.32587,                0.00701,                0.00209,                 2.9156,                 5.9149,                 5.5483,                 2.5947,                  6.007,                  5.428,                0.07017,              0.0033144,              0.0033144
                      2,                 2.5388,                 3.2316,                  3.516,                  2.117,                 3.7406,                 3.2265,                0.22235,                0.31965,                0.18746,                0.09161,                 1.9689,                 3.3854,                 3.3975,                 1.4848,                 2.8931,                 2.8535,               0.040138,              0.0066148,              0.0066148
                      3,                 1.7664,                 1.6366,                 2.3666,                 1.5544,                 2.0811,                 2.1739,                0.59589,                0.70522,                0.72465,                0.50378,                 1.2592,                 1.0359,                  1.895,                 1.0785,                 1.3237,                 1.7275,               0.010072,              0.0098822,              0.0098822
                      4,                 1.3446,                 1.0745,                 1.9073,                 1.3247,                 1.4437,                 1.8637,                 0.7145,                0.72015,                0.79736,                0.59121,                0.90823,                0.80875,                 1.5257,                0.94838,                0.96002,                 1.5455,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0812,                0.84421,                 1.6382,                 1.1395,                 1.0671,                 1.6741,                0.20261,                0.44776,                0.23938,                0.13542,                  1.239,                 2.0386,                 1.8932,                 1.3619,                 3.2922,                 2.0912,              0.0098515,              0.0098515,              0.0098515
                      6,                 0.9868,                0.74737,                 1.5307,                 1.0437,                0.91751,                 1.5676,                0.75169,                 0.7699,                0.83606,                0.65954,                0.73228,                0.73379,                 1.3525,                0.78388,                0.83309,                 1.3902,               0.009802,               0.009802,               0.009802
                      7,                0.92163,                 0.6704,                 1.4518,                0.97725,                0.78163,                 1.4846,                0.30962,                  0.699,                0.29773,                0.19977,                 1.1343,                 1.7854,                  1.773,                 1.0707,                 2.4916,                 1.7546,              0.0097525,              0.0097525,              0.0097525
                      8,                0.87259,                0.61743,                 1.4076,                0.93098,                0.68168,                   1.44,                0.20812,                0.22637,                0.16195,                0.07734,                 1.4472,                  3.315,                 2.2033,                 1.6645,                 3.5979,                 2.4988,               0.009703,               0.009703,               0.009703
                      9,                0.84656,                0.58681,                 1.3792,                0.90108,                0.64895,                 1.4119,                0.55623,                0.64925,                  0.627,                0.49282,                0.76715,                 1.0408,                 1.3896,                0.81807,                 1.4584,                 1.4389,              0.0096535,              0.0096535,              0.0096535
                     10,                0.81459,                0.54867,                  1.353,                0.86168,                0.58352,                 1.3813,                0.89519,                0.94776,                0.97836,                0.81285,                0.66557,                0.41331,                 1.2684,                0.64193,                 0.3767,                 1.2794,               0.009604,               0.009604,               0.009604
                     11,                0.79053,                0.52568,                 1.3227,                0.85146,                0.56685,                 1.3668,                0.82048,                0.62313,                0.78684,                 0.6055,                 1.0294,                 1.3496,                 1.6505,                0.91517,                 1.3494,                 1.6157,              0.0095545,              0.0095545,              0.0095545
                     12,                0.76291,                0.50644,                 1.3025,                0.82748,                0.56216,                 1.3439,                0.33518,                0.79353,                 0.3588,                0.22591,                  1.081,                 1.4504,                 1.9206,                 1.1131,                 1.8298,                 2.0024,               0.009505,               0.009505,               0.009505
                     13,                 0.7424,                 0.4932,                 1.2777,                0.80155,                0.52533,                 1.3074,                0.95214,                0.96269,                0.98961,                0.84241,                0.59691,                0.36394,                 1.1986,                0.59972,                0.26907,                 1.2115,              0.0094555,              0.0094555,              0.0094555
                     14,                0.73226,                0.47539,                 1.2666,                0.78971,                0.48307,                 1.2991,                0.66893,                0.59812,                0.66779,                 0.3681,                 1.9123,                 2.1435,                 2.7701,                 1.6997,                 1.5642,                 2.6257,               0.009406,               0.009406,               0.009406
                     15,                0.70945,                0.45757,                 1.2376,                0.76677,                0.47546,                 1.2657,                0.93124,                0.92641,                0.97403,                0.82701,                 0.5658,                0.52268,                 1.1693,                 0.5965,                0.52985,                 1.1811,              0.0093565,              0.0093565,              0.0093565
                     16,                0.70125,                0.45766,                 1.2277,                0.74912,                0.44994,                 1.2431,                0.93638,                0.93657,                0.97689,                 0.8357,                0.56336,                0.44431,                 1.1792,                0.58134,                0.38487,                 1.1973,               0.009307,               0.009307,               0.009307
                     17,                0.68357,                0.43129,                 1.2177,                0.73187,                0.42276,                 1.2407,                0.89933,                    0.8,                0.93451,                0.75517,                0.74324,                0.61441,                 1.3965,                 0.7399,                0.61532,                 1.4388,              0.0092575,              0.0092575,              0.0092575
                     18,                0.67795,                 0.4321,                  1.208,                0.72836,                0.40523,                 1.2348,                0.94101,                 0.9523,                 0.9863,                0.84098,                0.53356,                0.31486,                 1.1435,                0.58418,                0.28638,                 1.1808,               0.009208,               0.009208,               0.009208
                     19,                0.66192,                0.42128,                 1.2041,                0.71245,                0.40337,                 1.2335,                0.35085,                0.79851,                0.35073,                0.23035,                 1.0681,                 1.7297,                 1.8306,                 1.1324,                 2.3317,                 1.9601,              0.0091585,              0.0091585,              0.0091585
                     20,                0.64096,                 0.4013,                 1.1739,                0.68871,                0.36551,                 1.2038,                0.38872,                0.56314,                0.43333,                0.30463,                 1.0885,                 2.0801,                 1.7812,                 1.0436,                 2.0619,                 1.7867,               0.009109,               0.009109,               0.009109
                     21,                0.63821,                0.40274,                 1.1727,                0.69055,                0.36932,                 1.1992,                0.99368,                0.97793,                0.99379,                0.84829,                0.55136,                0.32417,                 1.1591,                0.59379,                0.22575,                 1.1884,              0.0090595,              0.0090595,              0.0090595
                     22,                0.63341,                0.39994,                  1.178,                0.68082,                0.38199,                 1.2104,                0.97503,                0.97154,                0.99233,                0.86042,                0.53547,                0.29538,                 1.1578,                0.54004,                0.22005,                 1.1693,                0.00901,                0.00901,                0.00901
                     23,                0.62016,                0.38873,                 1.1625,                0.67335,                 0.3694,                 1.1892,                0.92892,                0.89428,                0.97018,                0.82091,                 0.6187,                0.40637,                 1.2574,                0.60606,                0.41225,                 1.3231,              0.0089605,              0.0089605,              0.0089605
                     24,                0.61367,                0.38609,                 1.1572,                0.66526,                0.35497,                 1.1879,                0.95961,                0.91542,                0.97943,                0.80949,                0.67696,                0.43052,                 1.3243,                0.68115,                0.43671,                 1.3663,               0.008911,               0.008911,               0.008911
                     25,                0.61636,                0.38693,                 1.1556,                0.66597,                0.35682,                 1.1861,                0.96058,                0.93946,                0.98824,                0.78154,                 0.7451,                 0.4078,                 1.3702,                0.83228,                0.36134,                 1.4634,              0.0088615,              0.0088615,              0.0088615
                     26,                0.59696,                0.37637,                 1.1386,                0.64545,                0.34796,                 1.1624,                0.65332,                0.50746,                0.65678,                0.52734,                0.87554,                 1.1049,                 1.5437,                0.90908,                 1.3964,                 1.5813,               0.008812,               0.008812,               0.008812
                     27,                0.59938,                0.37613,                 1.1406,                0.65223,                0.34362,                 1.1681,                0.69784,                0.66791,                 0.7583,                0.62681,                0.75828,                 1.5842,                 1.4732,                0.72835,                 1.4992,                 1.4928,              0.0087625,              0.0087625,              0.0087625
                     28,                0.58501,                0.36668,                 1.1273,                0.63205,                0.31979,                  1.153,                0.33393,                0.65672,                0.31395,                0.21235,                 1.1678,                 2.6732,                 1.8492,                 1.1844,                 2.5297,                  1.894,               0.008713,               0.008713,               0.008713
                     29,                  0.578,                 0.3659,                 1.1223,                 0.6238,                0.32055,                 1.1507,                0.95804,                0.98881,                0.99025,                0.86908,                0.48121,                0.29727,                 1.0898,                0.52879,                0.26602,                 1.1232,              0.0086635,              0.0086635,              0.0086635
                     30,                0.57991,                0.36376,                 1.1151,                 0.6303,                0.32715,                 1.1419,                0.96759,                0.96642,                0.99111,                0.88463,                0.47251,                0.27087,                 1.0952,                0.48787,                0.20117,                  1.106,               0.008614,               0.008614,               0.008614
                     31,                0.57486,                0.35757,                 1.1206,                0.61779,                0.31329,                 1.1449,                 0.6267,                0.64303,                0.71448,                0.55657,                0.90016,                 1.4883,                 1.5064,                0.87734,                 1.6635,                 1.5091,              0.0085645,              0.0085645,              0.0085645
                     32,                0.56953,                0.34992,                 1.1125,                0.61056,                0.29508,                 1.1382,                0.91454,                 0.9403,                0.96523,                0.84097,                0.55196,                0.55416,                 1.1548,                0.57101,                0.72897,                 1.1816,               0.008515,               0.008515,               0.008515
                     33,                0.56029,                0.34795,                 1.1072,                 0.6086,                0.30065,                 1.1338,                0.96923,                0.98259,                 0.9926,                0.87789,                0.47671,                0.25283,                 1.0965,                 0.5018,                0.19081,                 1.1146,              0.0084655,              0.0084655,              0.0084655
                     34,                0.54617,                0.34452,                    1.1,                0.59459,                0.28912,                 1.1283,                0.54577,                0.58458,                  0.607,                0.45704,                0.87024,                 1.5563,                  1.508,                  1.004,                 1.8761,                 1.6666,               0.008416,               0.008416,               0.008416
                     35,                0.55117,                0.34178,                 1.0965,                0.59739,                0.30174,                 1.1193,                0.97956,                0.96766,                0.99223,                0.88838,                0.50382,                0.31256,                 1.1271,                0.48157,                0.21664,                 1.1172,              0.0083665,              0.0083665,              0.0083665
                     36,                0.54926,                0.34494,                    1.1,                 0.5971,                    0.3,                 1.1222,                0.97937,                0.88577,                0.97023,                0.77765,                0.76017,                0.50921,                 1.3922,                0.77434,                0.56717,                 1.4044,               0.008317,               0.008317,               0.008317
                     37,                  0.546,                0.33956,                 1.0953,                0.59724,                0.29689,                 1.1217,                 0.6219,                0.89801,                0.77571,                 0.5959,                0.79066,                0.89893,                 1.4488,                0.87996,                 1.5434,                 1.5629,              0.0082675,              0.0082675,              0.0082675
                     38,                0.53547,                0.33605,                 1.0923,                0.58469,                0.29516,                 1.1138,                0.96747,                0.96175,                0.98965,                0.89484,                0.43627,                0.24385,                 1.0505,                0.46572,                0.20651,                 1.0704,               0.008218,               0.008218,               0.008218
                     39,                0.54022,                0.33867,                 1.0898,                 0.5875,                0.28838,                 1.1069,                0.74851,                0.66418,                 0.7965,                0.58604,                 1.0294,                0.96452,                 1.6333,                 1.0091,                 1.2204,                 1.6646,              0.0081685,              0.0081685,              0.0081685
                     40,                0.53471,                0.33488,                 1.0781,                0.57978,                0.28791,                 1.0944,                0.97803,                0.94115,                0.98775,                0.88331,                0.48818,                0.36429,                 1.1048,                0.49212,                0.33714,                 1.1036,               0.008119,               0.008119,               0.008119
                     41,                0.52978,                0.32561,                 1.0815,                0.57025,                0.27791,                 1.1037,                0.96111,                0.97886,                0.99085,                0.89455,                0.46046,                0.24949,                 1.0692,                0.45711,                0.19731,                 1.0659,              0.0080695,              0.0080695,              0.0080695
                     42,                0.52332,                0.32407,                  1.076,                0.56002,                 0.2746,                 1.0941,                0.61395,                0.84461,                0.67204,                0.54108,                0.81848,                 1.0508,                 1.4926,                0.79563,                 1.1286,                 1.5256,                0.00802,                0.00802,                0.00802
                     43,                0.51975,                0.32354,                 1.0688,                0.55679,                0.27414,                 1.0853,                0.98279,                0.97388,                0.99211,                0.86083,                0.55712,                 0.4363,                   1.25,                0.56679,                0.41885,                 1.3383,              0.0079705,              0.0079705,              0.0079705
                     44,                0.51504,                0.31666,                 1.0712,                 0.5561,                  0.258,                  1.091,                0.97914,                0.99252,                 0.9927,                0.90103,                0.44284,                0.25598,                 1.0731,                0.44659,                0.16814,                 1.0896,               0.007921,               0.007921,               0.007921
                     45,                0.51684,                0.32293,                 1.0647,                0.55516,                0.26019,                 1.0813,                0.96807,                0.97886,                0.99132,                0.87941,                0.53684,                0.32904,                 1.1604,                0.49483,                0.27667,                 1.1681,              0.0078715,              0.0078715,              0.0078715
                     46,                0.51439,                0.31825,                 1.0631,                0.55461,                0.26464,                 1.0838,                0.38969,                0.58831,                0.47751,                0.33623,                 1.1312,                  2.023,                 1.8643,                 1.1597,                 1.9305,                  1.884,               0.007822,               0.007822,               0.007822
                     47,                0.50815,                0.32002,                 1.0616,                0.54736,                0.26406,                 1.0807,                0.99374,                0.98734,                0.99464,                0.91889,                0.41548,                0.22914,                 1.0536,                0.41215,                0.14221,                 1.0569,              0.0077725,              0.0077725,              0.0077725
                     48,                0.49767,                0.31536,                  1.048,                0.54008,                0.27382,                 1.0697,                0.47004,                0.66667,                0.50726,                0.30819,                 1.2036,                 1.5778,                 2.0516,                  1.267,                 1.7576,                 2.1358,               0.007723,               0.007723,               0.007723
                     49,                0.49831,                0.31045,                 1.0524,                0.54316,                0.26607,                 1.0797,                0.96608,                0.97512,                0.98766,                0.89346,                0.46731,                0.28345,                 1.0766,                0.46466,                0.26517,                 1.0783,              0.0076735,              0.0076735,              0.0076735
                     50,                0.50464,                0.31974,                 1.0581,                0.54545,                0.27343,                 1.0837,                0.94301,                0.90555,                0.95911,                0.78916,                0.71491,                 1.0106,                 1.3871,                0.76142,                 1.2275,                   1.42,               0.007624,               0.007624,               0.007624
                     51,                0.49172,                0.31223,                 1.0524,                0.53322,                0.26529,                 1.0775,                0.95325,                0.95896,                0.98359,                0.87841,                0.48649,                0.42784,                  1.093,                0.47176,                0.53978,                 1.0924,              0.0075745,              0.0075745,              0.0075745
                     52,                0.49051,                0.30788,                 1.0442,                0.52935,                0.25099,                 1.0642,                0.80966,                 0.8893,                0.90441,                0.74767,                0.64559,                0.68905,                 1.2981,                0.67196,                0.83716,                 1.3171,               0.007525,               0.007525,               0.007525
                     53,                0.48938,                0.30658,                 1.0498,                0.52435,                0.24837,                 1.0671,                0.97864,                0.96868,                0.98785,                0.88927,                0.44977,                0.31461,                  1.083,                0.45016,                0.26099,                 1.0776,              0.0074755,              0.0074755,              0.0074755
                     54,                0.49344,                0.30895,                 1.0459,                0.52861,                0.25222,                 1.0642,                0.96629,                0.92685,                0.98411,                0.85051,                0.54008,                0.38948,                 1.1645,                0.54801,                0.32834,                 1.1617,               0.007426,               0.007426,               0.007426
                     55,                0.48767,                0.30495,                 1.0402,                0.52147,                0.24423,                 1.0578,                 0.9214,                0.85448,                0.95354,                0.81571,                0.56649,                0.63229,                 1.2423,                0.58035,                0.65402,                 1.2615,              0.0073765,              0.0073765,              0.0073765
                     56,                0.48593,                0.30495,                 1.0401,                0.52289,                0.24468,                 1.0621,                0.98332,                0.99129,                0.99344,                0.91633,                0.40939,                0.21151,                 1.0506,                0.42362,                0.15613,                 1.0628,               0.007327,               0.007327,               0.007327
                     57,                0.48847,                0.30477,                 1.0424,                0.52485,                0.24417,                 1.0622,                0.85572,                0.90423,                0.95417,                0.78851,                 0.6346,                 0.4445,                 1.2768,                0.65922,                0.55769,                 1.2997,              0.0072775,              0.0072775,              0.0072775
                     58,                0.48423,                0.29903,                 1.0387,                0.51837,                 0.2382,                 1.0544,                0.81499,                0.89801,                0.91988,                 0.7727,                0.62058,                0.68417,                 1.2655,                0.69092,                0.80249,                 1.2798,               0.007228,               0.007228,               0.007228
                     59,                0.47993,                 0.3013,                 1.0308,                0.51977,                0.24406,                 1.0495,                0.97162,                0.99378,                0.99236,                0.91809,                0.38961,                0.21586,                 1.0281,                0.40471,                0.15671,                 1.0373,              0.0071785,              0.0071785,              0.0071785
                     60,                0.47351,                0.29869,                 1.0279,                0.50936,                0.25031,                 1.0455,                0.57761,                0.76119,                 0.6695,                0.56435,                0.73017,                0.89233,                 1.3531,                0.75159,                 1.1374,                 1.3755,               0.007129,               0.007129,               0.007129
                     61,                0.47121,                0.29924,                 1.0289,                0.50855,                0.24096,                 1.0467,                0.97393,                0.99254,                0.99133,                0.89859,                 0.4141,                0.22808,                 1.0466,                 0.4111,                0.17683,                 1.0491,              0.0070795,              0.0070795,              0.0070795
